國文,英文,數學,社會,自然
11,14,9,12,13
11,12,12,8,6
15,6,12,9,6
6,8,7,15,10
9,6,7,6,9
10,13,14,12,6
11,15,11,10,7
14,14,13,7,10
14,9,6,8,10
13,6,15,14,6
6,8,14,6,7
10,8,14,12,14
10,11,7,12,15
9,11,10,15,7
13,8,11,9,15
13,7,9,13,11
15,11,10,11,9
7,6,13,9,13
14,6,13,15,12
9,11,11,8,13
11,10,7,12,11
8,7,9,9,7
13,9,7,7,9
13,14,6,9,11
11,9,10,12,6
14,15,6,8,15
14,9,7,7,9
13,13,9,9,10
7,11,11,14,10
14,13,11,8,8
10,11,15,12,6
14,13,13,8,15
7,12,8,13,13
9,11,10,10,11
7,8,6,8,10
15,11,7,15,10
8,11,7,8,12
7,11,13,14,15
8,15,14,10,10
14,6,6,10,9
8,8,6,15,12
12,13,8,8,11
10,13,7,13,8
8,11,12,10,7
10,13,7,14,7
9,6,8,12,9
6,6,8,12,9
9,11,6,11,15
6,12,11,8,6
6,10,15,13,7
14,7,10,13,9
15,6,12,6,15
13,7,7,8,14
6,7,12,14,6
8,13,7,14,13
8,12,12,13,9
10,12,8,6,15
12,14,7,6,12
7,7,12,8,13
7,15,10,11,11
12,8,6,14,14
11,7,8,12,11
10,14,7,15,7
14,6,14,6,13
10,9,14,15,6
9,11,11,8,7
14,13,7,6,9
11,10,12,14,14
14,11,15,8,10
9,9,12,10,12
14,15,6,10,9
13,9,9,12,12
11,15,12,13,7
15,10,13,12,9
7,13,9,13,14
9,7,14,8,6
8,9,11,14,8
7,7,8,13,8
7,10,13,10,14
8,11,14,6,12
10,8,15,7,9
10,11,7,14,7
6,11,14,13,14
6,15,13,7,7
9,10,6,11,8
14,13,6,11,13
8,15,7,13,15
12,15,10,7,15
13,14,13,14,12
11,6,10,13,9
14,8,7,7,13
15,12,13,12,6
14,13,6,7,7
9,11,10,13,9
7,9,11,12,10
9,9,10,7,7
13,13,7,13,12
12,12,15,7,10
6,9,6,14,12
6,8,10,9,11
